X,Y,patronyme_,objectid,numero_uai,appellatio,denominati,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,coordonnee,coordonn_1,epsg,latitude,longitude,appariemen,localisati,nature_uai,nature_u_1,etat_etabl,etat_eta_1,code_depar,code_regio,code_acade,code_commu,libelle_de,libelle_re,libelle_ac,secteur_pr,secteur__1,eff_1920,statut,dat_ferm,euroscol,eff_2021,eff_2122,eff_2223
2.77572673871186,50.4354208208964,CELESTIN FREINET,48,0620303T,Ecole maternelle Célestin Freinet,ECOLE MATERNELLE PUBLIQUE,Public,Rue Claude Debussy, ,112,62800,LIEVIN,LIEVIN,684043.3,7037568.2,EPSG:2154,50.43542082,2.77572674,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62510,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,117,Ouvert,,NON,121,110,
2.75314199345724,50.4252706455728,ARTHUR LAMENDIN,49,0620305V,Ecole maternelle Arthur Lamendin,ECOLE MATERNELLE PUBLIQUE,Public,102 rue Jules Ferry, , ,62800,LIEVIN,LIEVIN,682432.9,7036442.3,EPSG:2154,50.42527065,2.75314199,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62510,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,159,Ouvert,,NON,148,150,
2.86589171577733,50.4370479443066,HENRI MATISSE,50,0620312C,Ecole maternelle Henri Matisse,ECOLE MATERNELLE PUBLIQUE,Public,87 rue Basly, , ,62218,LOISON SOUS LENS,LOISON-SOUS-LENS,690458.7,7037734.9,EPSG:2154,50.43704794,2.86589172,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62523,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,125,Ouvert,,NON,110,120,
2.88049543373419,50.4168881160597,SUZANNE LANNOY,51,0620318J,Ecole maternelle Suzanne Lanoy,ECOLE MATERNELLE PUBLIQUE,Public,1  AVENUE LE GENTIL, , ,62680,MERICOURT,MERICOURT,691494.3,7035487.5,EPSG:2154,50.41688812,2.88049543,Correcte,Ville,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62570,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,116,Ouvert,,NON,122,131,
2.87268952965082,50.4290387780091,EMILE BASLY,52,0620321M,Ecole maternelle Emile Basly,ECOLE MATERNELLE PUBLIQUE,Public,Rue Emile Basly, , ,62221,NOYELLES SOUS LENS,NOYELLES-SOUS-LENS,690940.9,7036841.9,EPSG:2154,50.42903878,2.87268953,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62628,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,80,Ouvert,,NON,76,78,
2.86062836126069,50.4185729516891,DU CENTRE,53,0620323P,Ecole maternelle du Centre,ECOLE MATERNELLE PUBLIQUE,Public,Rue Seraphin Cordier, , ,62430,SALLAUMINES,SALLAUMINES,690080.6,7035677.5,EPSG:2154,50.41857295,2.86062836,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62771,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,157,Ouvert,,NON,129,142,
2.812224092342,50.3730358562142,PAULINE KERGOMARD,54,0620327U,Ecole maternelle Pauline Kergomard,ECOLE MATERNELLE PUBLIQUE,Public,Rue de la Gare, , ,62580,VIMY,VIMY,686623.5,7030612.2,EPSG:2154,50.37303586,2.81222409,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62861,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,129,Ouvert,,NON,121,101,
2.78750411864197,50.4569678292048,EMILIENNE MOREAU,55,0620367M,Ecole maternelle Emilienne Moreau,ECOLE MATERNELLE PUBLIQUE,Public,4 rue Alexandre Maniez, , ,62750,LOOS EN GOHELLE,LOOS-EN-GOHELLE,684887.7,7039966.2,EPSG:2154,50.45696783,2.78750412,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62528,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,109,Ouvert,,NON,103,114,
2.68628711867238,50.4491214439331,JEAN DE LA FONTAINE,56,0620372T,Ecole maternelle Jean de La Fontaine,ECOLE MATERNELLE PUBLIQUE,Public,Boulevard du Général Leclerc, , ,62114,SAINS EN GOHELLE,SAINS-EN-GOHELLE,677685.9,7039116.1,EPSG:2154,50.44912144,2.68628712,Correcte,Rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62737,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,147,Ouvert,,NON,133,123,
2.86699016113902,50.4959319775942,LEON BLUM,57,0620377Y,Ecole maternelle Léon Blum,ECOLE MATERNELLE PUBLIQUE,Public,Rue Albert Camus, , ,62410,WINGLES,WINGLES,690547.9,7044294.6,EPSG:2154,50.49593198,2.86699016,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62895,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,57,Ouvert,,NON,65,71,
